1024 1024
(x=139, y=475); kind: conductor;
(x=48, y=475); kind: conductor;
(x=313, y=475); kind: conductor;
(x=346, y=475); kind: conductor;
(x=68, y=475); kind: conductor;
(x=407, y=958); kind: conductor;
(x=12, y=475); kind: conductor;
(x=407, y=984); kind: conductor;
(x=407, y=913); kind: conductor;
(x=407, y=823); kind: conductor;
(x=407, y=1000); kind: conductor;
(x=407, y=874); kind: conductor;
(x=407, y=687); kind: conductor;
(x=187, y=475); kind: conductor;
(x=163, y=475); kind: conductor;
(x=407, y=966); kind: conductor;
(x=314, y=475); kind: conductor;
(x=345, y=475); kind: conductor;
(x=150, y=475); kind: conductor;
(x=106, y=475); kind: conductor;
(x=197, y=475); kind: conductor;
(x=61, y=475); kind: conductor;
(x=240, y=475); kind: conductor;
(x=407, y=628); kind: conductor;
(x=407, y=878); kind: conductor;
(x=43, y=475); kind: conductor;
(x=210, y=475); kind: conductor;
(x=77, y=475); kind: conductor;
(x=250, y=475); kind: conductor;
(x=195, y=475); kind: conductor;
(x=25, y=475); kind: conductor;
(x=407, y=968); kind: conductor;
(x=407, y=634); kind: conductor;
(x=407, y=721); kind: conductor;
(x=407, y=759); kind: conductor;
(x=249, y=475); kind: conductor;
(x=214, y=475); kind: conductor;
(x=14, y=475); kind: conductor;
(x=6, y=475); kind: conductor;
(x=407, y=815); kind: conductor;
(x=407, y=941); kind: conductor;
(x=238, y=475); kind: conductor;
(x=407, y=761); kind: conductor;
(x=112, y=475); kind: conductor;
(x=134, y=475); kind: conductor;
(x=407, y=838); kind: conductor;
(x=407, y=939); kind: conductor;
(x=407, y=932); kind: conductor;
(x=407, y=695); kind: conductor;
(x=351, y=475); kind: conductor;
(x=407, y=726); kind: conductor;
(x=160, y=475); kind: conductor;
(x=151, y=475); kind: conductor;
(x=407, y=845); kind: conductor;
(x=407, y=921); kind: conductor;
(x=186, y=475); kind: conductor;
(x=407, y=937); kind: conductor;
(x=69, y=475); kind: conductor;
(x=341, y=903); kind: bud;
(x=47, y=475); kind: conductor;
(x=115, y=475); kind: conductor;
(x=347, y=475); kind: conductor;
(x=407, y=635); kind: conductor;
(x=407, y=750); kind: conductor;
(x=407, y=724); kind: conductor;
(x=407, y=1008); kind: conductor;
(x=407, y=624); kind: conductor;
(x=407, y=732); kind: conductor;
(x=62, y=475); kind: conductor;
(x=407, y=797); kind: conductor;
(x=407, y=794); kind: conductor;
(x=320, y=475); kind: conductor;
(x=285, y=475); kind: conductor;
(x=298, y=475); kind: conductor;
(x=407, y=646); kind: conductor;
(x=248, y=475); kind: conductor;
(x=353, y=475); kind: conductor;
(x=334, y=475); kind: conductor;
(x=407, y=781); kind: conductor;
(x=166, y=475); kind: conductor;
(x=142, y=475); kind: conductor;
(x=407, y=866); kind: conductor;
(x=407, y=903); kind: conductor;
(x=407, y=799); kind: conductor;
(x=51, y=475); kind: conductor;
(x=32, y=475); kind: conductor;
(x=407, y=902); kind: conductor;
(x=10, y=475); kind: conductor;
(x=407, y=986); kind: conductor;
(x=407, y=778); kind: conductor;
(x=407, y=664); kind: conductor;
(x=235, y=475); kind: conductor;
(x=295, y=475); kind: conductor;
(x=407, y=914); kind: conductor;
(x=87, y=199); kind: bud;
(x=407, y=706); kind: conductor;
(x=212, y=475); kind: conductor;
(x=407, y=850); kind: conductor;
(x=99, y=475); kind: conductor;
(x=55, y=475); kind: conductor;
(x=407, y=738); kind: conductor;
(x=108, y=475); kind: conductor;
(x=315, y=475); kind: conductor;
(x=407, y=955); kind: conductor;
(x=407, y=964); kind: conductor;
(x=407, y=864); kind: conductor;
(x=407, y=925); kind: conductor;
(x=323, y=475); kind: conductor;
(x=407, y=820); kind: conductor;
(x=35, y=475); kind: conductor;
(x=24, y=475); kind: conductor;
(x=329, y=475); kind: conductor;
(x=407, y=908); kind: conductor;
(x=126, y=475); kind: conductor;
(x=407, y=653); kind: conductor;
(x=407, y=625); kind: conductor;
(x=407, y=665); kind: conductor;
(x=311, y=475); kind: conductor;
(x=407, y=748); kind: conductor;
(x=407, y=764); kind: conductor;
(x=407, y=992); kind: conductor;
(x=19, y=475); kind: conductor;
(x=407, y=805); kind: conductor;
(x=407, y=960); kind: conductor;
